population,pc,pm,sel,cros,ss,best_fit,final_diversity,final_exploration,final_exploitation,runtime
50,0.95,0.25,tournament,one_point,False,-0.5949484194779452,0.006704522534278,0.3133548999488659,99.68664510005114,100.26962159993128
200,0.75,0.25,roulette,multi_points,False,-0.5949529510505758,2.272047903618683,98.48371116036924,1.516288839630775,394.9023573005106
50,0.95,0.025,roulette,uniform,False,-0.5949540663118721,1.6590226975948332,74.08439930228018,25.915600697719825,100.08538630034307
200,0.95,0.025,tournament,arithmetic,False,-0.594957555055728,0.0048507563182491,0.2777475876518552,99.72225241234814,390.7279075999977
50,0.75,0.25,tournament,multi_points,False,-0.5949756336493164,0.0086446057221011,0.4047165989009868,99.595283401099,96.24908400012646
200,0.95,0.25,roulette,uniform,False,-0.5949922161885712,2.273926423052688,98.507889521998,1.4921104780019905,394.8753061998869
200,0.75,0.25,roulette,uniform,False,-0.5950112191500718,2.291352242592569,99.51440644879658,0.4855935512034222,381.8504806002602
200,0.95,0.05,roulette,one_point,False,-0.5950115973039094,2.1768382174214187,94.54187044997596,5.458129550024054,405.1999716998544
200,0.95,0.25,roulette,one_point,False,-0.595035034004167,2.2388540566758266,96.88095087061022,3.1190491293897797,405.8828102995176
200,0.95,0.05,roulette,one_point,False,-0.5950357362913479,2.194059472409366,95.25101535797602,4.748984642023984,403.7906023999676
50,0.75,0.25,roulette,one_point,False,-0.5950373168282024,2.156267681140629,95.6382711436148,4.361728856385199,99.29260080005042
200,0.75,0.25,roulette,uniform,False,-0.5950448139924128,2.2740411050335614,98.5916590103156,1.4083409896844046,412.49111730011646
50,0.95,0.25,roulette,multi_points,False,-0.595046591214584,2.0978971227800147,93.14799285374563,6.8520071462543655,97.0581675004214
200,0.75,0.05,roulette,uniform,False,-0.5950686270427378,2.171314196804629,94.3591682746533,5.6408317253467,383.5101662996458
50,0.95,0.025,roulette,multi_points,False,-0.5950825580817067,1.3052764015842535,58.08515867369353,41.91484132630647,98.27608019998296
200,0.95,0.025,roulette,uniform,False,-0.5950842754814013,2.069404707945256,89.78386981210679,10.216130187893214,392.3862635997357
200,0.75,0.25,roulette,multi_points,False,-0.5951011203367117,2.2933627941440085,99.38166284231104,0.6183371576889556,401.5277976003708
200,0.75,0.05,roulette,multi_points,False,-0.5951079914673041,2.2075261587389585,95.98236227744609,4.017637722553928,382.37056810001377
50,0.95,0.05,roulette,uniform,False,-0.5951223940537343,1.3812723154830735,61.69064817069256,38.309351829307445,100.13773869967554
50,0.95,0.25,roulette,uniform,False,-0.5951269461997726,1.638019161967496,73.06637777777513,26.93362222222487,100.5741379003739
200,0.95,0.05,roulette,uniform,False,-0.5951336262872393,2.029962984119811,88.07467732930192,11.92532267069808,398.62883280054666
50,0.75,0.025,tournament,multi_points,False,-0.5951385818636006,0.0156981633240815,0.7250290460427615,99.27497095395724,96.802431500284
200,0.95,0.05,roulette,uniform,False,-0.5951460257211957,2.183888277249813,94.8844114482076,5.115588551792413,386.3191442999523
200,0.75,0.25,tournament,arithmetic,False,-0.5951484121565543,0.0067330391718736,0.3657831511711872,99.6342168488288,380.01464240043424
50,0.95,0.05,roulette,uniform,False,-0.5951519895396884,1.1553643372251698,51.74726581987689,48.25273418012311,96.87080739997327
200,0.95,0.05,roulette,multi_points,False,-0.595157797713696,2.1332385549155526,92.88091214355352,7.11908785644647,404.0568563999841
200,0.95,0.05,roulette,multi_points,False,-0.5951612375828848,2.0857771561033736,90.5679290634222,9.4320709365778,410.8100250001298
200,0.75,0.05,roulette,uniform,False,-0.5951656011339085,2.033091133270261,88.33824479669137,11.66175520330863,381.65831319987774
50,0.95,0.25,tournament,one_point,False,-0.5951662390266643,0.0327031972438628,1.5186381492519865,98.48136185074802,101.94848340004684
